constraint_id,s,p,o,cdate,cuser,ddate,duser,history_file,match_status
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822661,wdt:P1046,wd:Q6888,2017-02-23T15:44:27Z,Poulpy,2017-08-25T08:50:27Z,McSearch,20250501-triple-pages-meta-history17-p30456913p30501928.csv,found
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822662,wdt:P1046,wd:Q6888,2017-02-23T15:47:13Z,Poulpy,2017-08-25T08:50:43Z,McSearch,20250501-triple-pages-meta-history17-p30456913p30501928.csv,found
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q34848979,wdt:P1046,wd:Q6888,2018-06-26T22:11:08Z,Mr. Fulano,2018-06-26T22:11:26Z,Mr. Fulano,20250501-triple-pages-meta-history19-p36226782p36299508.csv,found
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q560,wdt:P1046,wd:Q216817,,,,,,not_found
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q11406005,wdt:P1046,wd:Q6888,2015-05-18T20:41:12Z,Pho3niX,2016-02-06T22:13:21Z,Mu301,20250501-triple-pages-meta-history9-p12540260p12598404.csv,found
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q20877161,wdt:P1046,wd:Q6888,,,,,,not_found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q125133,wdt:P1196,wd:Q4,2017-03-16T22:20:19Z,186.103.175.74,2017-03-17T09:54:46Z,HaeB,20250501-triple-pages-meta-history1-p127217p132501.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q266816,wdt:P1196,wd:Q4,2016-09-28T01:18:49Z,2001:1388:1B85:4066:7986:E571:B8D7:DEC7,2016-09-28T06:49:23Z,Sjoerddebruin,20250501-triple-pages-meta-history1-p257926p262011.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q266816,wdt:P1196,wd:Q4,2017-05-16T22:45:00Z,190.233.206.89,2017-05-17T00:14:26Z,2001:1388:B46:177C:C091:6351:44D0:C4DB,20250501-triple-pages-meta-history1-p257926p262011.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5707138,wdt:P1196,wd:Q4,2017-07-19T02:14:58Z,2800:370:72:D5F0:45A5:4170:3149:27F0,2017-07-20T12:06:31Z,Billinghurst,20250501-triple-pages-meta-history6-p5443784p5490738.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4,2018-02-01T02:49:52Z,2800:4F0:8D:64B0:712A:1425:6F03:7216,2018-02-01T06:47:51Z,YMS,20250501-triple-pages-meta-history7-p6637923p6680840.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4,2018-03-06T20:32:14Z,181.199.39.130,2018-03-06T22:53:52Z,45.71.112.20,20250501-triple-pages-meta-history7-p6637923p6680840.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4,2018-02-01T02:49:52Z,2800:4F0:8D:64B0:712A:1425:6F03:7216,2018-02-01T06:47:51Z,YMS,20250501-triple-pages-meta-history7-p6637923p6680840.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4,2018-03-06T20:32:14Z,181.199.39.130,2018-03-06T22:53:52Z,45.71.112.20,20250501-triple-pages-meta-history7-p6637923p6680840.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q47926151,wdt:P1196,wd:Q4,2018-02-06T20:46:35Z,Nattes à chat,2018-04-06T08:28:31Z,Nattes à chat,20250501-triple-pages-meta-history21-p48929133p48991038.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q168847,wdt:P1196,wd:Q39,2017-10-31T13:22:58Z,190.196.145.254,2017-10-31T20:33:16Z,YMS,20250501-triple-pages-meta-history1-p166984p170830.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q238557,wdt:P1196,wd:Q58,2017-08-05T20:11:08Z,152.204.175.168,2017-08-05T22:31:04Z,NicoScribe,20250501-triple-pages-meta-history1-p231114p235536.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q9030106,wdt:P1196,wd:Q58,2017-09-11T12:16:20Z,190.248.7.3,2017-09-11T12:39:01Z,190.248.7.3,20250501-triple-pages-meta-history8-p9095974p9163861.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2394793,wdt:P1196,wd:Q156,2018-05-04T02:34:28Z,187.228.27.197,2018-05-04T08:19:14Z,YMS,20250501-triple-pages-meta-history4-p2312354p2336178.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q527997,wdt:P1196,wd:Q290,2018-05-21T16:58:53Z,186.84.82.75,2018-05-21T17:25:02Z,186.84.82.75,20250501-triple-pages-meta-history2-p488074p497567.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q41783999,wdt:P1196,wd:Q349,2017-10-09T20:05:58Z,Zaccarias,2017-10-11T12:15:01Z,Sannita,20250501-triple-pages-meta-history20-p43041606p43101334.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1331999,wdt:P1196,wd:Q592,2017-02-23T15:06:57Z,190.7.155.179,2017-02-23T17:38:18Z,YMS,20250501-triple-pages-meta-history3-p1267992p1284689.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1978472,wdt:P1196,wd:Q592,2018-04-16T17:07:32Z,186.28.246.18,2018-04-16T18:45:59Z,YMS,20250501-triple-pages-meta-history3-p1886322p1909685.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20898801,wdt:P1196,wd:Q592,,,,,,not_found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q78491,wdt:P1196,wd:Q795,2017-09-20T17:48:48Z,79.147.211.25,2017-09-20T17:50:06Z,79.147.211.25,20250501-triple-pages-meta-history1-p79923p83442.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q32979496,wdt:P1196,wd:Q1985,2017-07-12T19:29:01Z,Entbert,2017-07-12T19:29:06Z,Entbert,20250501-triple-pages-meta-history18-p34366055p34523486.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q203715,wdt:P1196,wd:Q2840,2016-09-07T23:57:29Z,181.91.2.244,2016-09-07T23:59:29Z,Andreasmperu,20250501-triple-pages-meta-history1-p199398p203613.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6518671,wdt:P1196,wd:Q3196,2017-06-13T11:08:21Z,Eingangskontrolle,2018-06-20T14:55:26Z,Infovarius,20250501-triple-pages-meta-history7-p6312097p6345909.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q91,wdt:P1196,wd:Q6186,2015-10-01T17:56:30Z,40.132.165.154,2015-10-01T18:22:20Z,YMS,20250501-triple-pages-meta-history1-p155p284.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q91,wdt:P1196,wd:Q6223,2015-10-01T17:56:55Z,40.132.165.154,2015-10-01T18:22:20Z,YMS,20250501-triple-pages-meta-history1-p155p284.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q205456,wdt:P1196,wd:Q7066,2018-04-04T19:39:05Z,Monchue,2018-06-20T15:18:07Z,Infovarius,20250501-triple-pages-meta-history1-p199398p203613.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q200661,wdt:P1196,wd:Q7246,2017-04-27T19:52:16Z,201.187.80.44,2017-04-28T21:07:28Z,Sjoerddebruin,20250501-triple-pages-meta-history1-p194538p199397.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q9151411,wdt:P1196,wd:Q7860,2016-10-26T18:54:25Z,Juan ramon colina,2016-10-26T19:21:31Z,YMS,20250501-triple-pages-meta-history8-p9163862p9234338.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q23889270,wdt:P1196,wd:Q7935,2016-04-19T22:30:40Z,CAWylie,2016-04-22T09:07:56Z,Jura1,20250501-triple-pages-meta-history15-p25870699p25911176.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5942512,wdt:P1196,wd:Q8386,2017-06-27T03:45:27Z,2800:4F0:75:C000:7871:15C1:C844:525F,2017-06-28T06:38:50Z,YMS,20250501-triple-pages-meta-history6-p5678278p5719025.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q16864,wdt:P1196,wd:Q8396,2018-04-03T19:23:12Z,186.49.183.140,2018-04-03T19:23:59Z,Wikidelo,20250501-triple-pages-meta-history1-p18476p21442.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q156272,wdt:P1196,wd:Q8396,2017-02-03T08:03:20Z,150.241.162.241,2017-02-04T06:25:38Z,MisterSynergy,20250501-triple-pages-meta-history1-p156796p158609.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q15567,wdt:P1196,wd:Q9687,2017-04-20T14:20:53Z,Harry Canyon,2017-04-20T14:22:52Z,Harry Canyon,20250501-triple-pages-meta-history1-p15696p18475.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q15567,wdt:P1196,wd:Q9687,2019-12-01T12:32:47Z,Amadalvarez,2019-12-01T15:06:06Z,KrBot,20250501-triple-pages-meta-history1-p15696p18475.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q75167,wdt:P1196,wd:Q9687,2018-05-10T06:02:47Z,Thomas11,2018-05-11T09:42:44Z,KrBot,20250501-triple-pages-meta-history1-p76125p79922.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q75167,wdt:P1196,wd:Q9687,2018-06-29T16:01:58Z,Infovarius,2018-06-29T16:49:53Z,KrBot,20250501-triple-pages-meta-history1-p76125p79922.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q85179,wdt:P1196,wd:Q9687,2016-03-07T18:49:46Z,Raymond Ellis,2016-09-25T14:41:04Z,Jura1,20250501-triple-pages-meta-history1-p86777p94977.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q128736,wdt:P1196,wd:Q9687,2015-05-24T16:04:03Z,Coyau,2015-06-05T17:44:42Z,Cbrown1023,20250501-triple-pages-meta-history1-p127217p132501.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q142582,wdt:P1196,wd:Q9687,2017-05-14T22:50:38Z,189.169.157.56,2017-10-07T19:27:10Z,KrBot,20250501-triple-pages-meta-history1-p141042p149324.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q186492,wdt:P1196,wd:Q9687,2014-03-12T00:06:25Z,Danrok,2014-05-13T03:15:52Z,Emw,20250501-triple-pages-meta-history1-p184028p186805.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q259091,wdt:P1196,wd:Q9687,2018-05-19T18:01:35Z,Msms0302,2018-05-19T19:44:23Z,KrBot,20250501-triple-pages-meta-history1-p250105p257925.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q314784,wdt:P1196,wd:Q9687,2018-05-14T14:25:59Z,Autom,2018-05-14T14:33:40Z,KrBot,20250501-triple-pages-meta-history1-p301070p303900.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q321108,wdt:P1196,wd:Q9687,2016-08-31T17:21:55Z,Barcex,2016-09-25T14:41:52Z,Jura1,20250501-triple-pages-meta-history1-p307585p314500.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q438213,wdt:P1196,wd:Q9687,2015-09-05T17:36:37Z,Coyau,2016-09-25T14:42:39Z,Jura1,20250501-triple-pages-meta-history1-p406776p415528.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q457098,wdt:P1196,wd:Q9687,2014-08-29T07:09:05Z,Coyau,2016-09-25T14:43:08Z,Jura1,20250501-triple-pages-meta-history1-p425621p432697.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q465609,wdt:P1196,wd:Q9687,2016-12-13T17:34:38Z,Rashinseita,2017-10-07T19:27:00Z,KrBot,20250501-triple-pages-meta-history1-p438997p441397.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q625966,wdt:P1196,wd:Q9687,2018-03-04T12:26:36Z,Carlosmg.dg,2018-03-04T15:55:19Z,58.62.86.211,20250501-triple-pages-meta-history2-p579678p592049.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q779476,wdt:P1196,wd:Q9687,2015-06-18T17:35:01Z,Rakás,2016-09-25T14:44:27Z,Jura1,20250501-triple-pages-meta-history2-p722663p736472.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q887497,wdt:P1196,wd:Q9687,2018-03-05T00:39:51Z,Sebeat,2018-03-11T11:33:52Z,KrBot,20250501-triple-pages-meta-history2-p826206p845096.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1502870,wdt:P1196,wd:Q9687,2017-08-29T21:00:34Z,Yiyi,2017-10-07T19:26:56Z,KrBot,20250501-triple-pages-meta-history3-p1416807p1440504.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1579396,wdt:P1196,wd:Q9687,2018-06-14T19:05:11Z,Marcus Cyron,2018-06-14T19:05:35Z,Marcus Cyron,20250501-triple-pages-meta-history3-p1510591p1529929.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1759105,wdt:P1196,wd:Q9687,2016-09-15T08:29:57Z,Zenfiric,2016-09-25T14:44:53Z,Jura1,20250501-triple-pages-meta-history3-p1680036p1698064.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1969431,wdt:P1196,wd:Q9687,2016-01-30T13:50:06Z,Cardabela48,2016-09-25T14:45:12Z,Jura1,20250501-triple-pages-meta-history3-p1886322p1909685.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2055054,wdt:P1196,wd:Q9687,2015-12-18T20:33:22Z,Cardabela48,2016-09-25T14:45:32Z,Jura1,20250501-triple-pages-meta-history3-p1972081p1993392.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2262600,wdt:P1196,wd:Q9687,2015-12-10T10:11:07Z,Llecco,2016-09-25T14:45:46Z,Jura1,20250501-triple-pages-meta-history4-p2168777p2193594.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2267931,wdt:P1196,wd:Q9687,2018-06-10T18:43:07Z,189.218.189.225,2018-06-10T18:46:20Z,KrBot,20250501-triple-pages-meta-history4-p2168777p2193594.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2394793,wdt:P1196,wd:Q9687,2016-08-21T05:21:01Z,Dacoucou,2016-09-16T01:21:45Z,Jura1,20250501-triple-pages-meta-history4-p2312354p2336178.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2395053,wdt:P1196,wd:Q9687,2015-11-30T09:43:28Z,Kamolan,2015-11-30T09:43:57Z,Kamolan,20250501-triple-pages-meta-history4-p2312354p2336178.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2428042,wdt:P1196,wd:Q9687,2016-05-25T10:58:18Z,Coyau,2016-09-25T14:46:05Z,Jura1,20250501-triple-pages-meta-history4-p2336179p2359308.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2548342,wdt:P1196,wd:Q9687,2018-06-11T18:35:09Z,Carlosmg.dg,2018-06-11T18:48:48Z,KrBot,20250501-triple-pages-meta-history4-p2453839p2477308.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2930816,wdt:P1196,wd:Q9687,2015-03-02T20:50:27Z,Sjoerddebruin,2015-03-02T20:51:11Z,Sjoerddebruin,20250501-triple-pages-meta-history4-p2786853p2813840.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3175690,wdt:P1196,wd:Q9687,2015-05-16T18:44:22Z,Ash Crow,2015-05-16T18:44:44Z,Ash Crow,20250501-triple-pages-meta-history4-p3022116p3040098.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3219154,wdt:P1196,wd:Q9687,2015-10-16T14:02:41Z,Wangfo,2016-09-25T14:46:27Z,Jura1,20250501-triple-pages-meta-history4-p3065740p3095602.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3288457,wdt:P1196,wd:Q9687,2015-07-27T13:50:08Z,Hsarrazin,2016-09-25T14:46:47Z,Jura1,20250501-triple-pages-meta-history5-p3126590p3148973.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3308908,wdt:P1196,wd:Q9687,2016-12-26T11:55:04Z,Verbex,2017-10-07T19:26:39Z,KrBot,20250501-triple-pages-meta-history5-p3148974p3173230.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3378143,wdt:P1196,wd:Q9687,2017-11-23T23:39:47Z,Salgo60,2017-11-23T23:56:32Z,KrBot,20250501-triple-pages-meta-history5-p3201173p3226095.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3419189,wdt:P1196,wd:Q9687,2016-12-26T16:05:02Z,Verbex,2017-10-07T19:26:37Z,KrBot,20250501-triple-pages-meta-history5-p3226096p3258922.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3435150,wdt:P1196,wd:Q9687,2018-05-15T20:08:48Z,Cardabela48,2018-05-15T22:00:02Z,KrBot,20250501-triple-pages-meta-history5-p3258923p3284436.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3435688,wdt:P1196,wd:Q9687,2018-01-03T09:44:01Z,Pyb,2018-01-05T06:39:57Z,KrBot,20250501-triple-pages-meta-history5-p3258923p3284436.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3476775,wdt:P1196,wd:Q9687,2014-04-02T16:29:09Z,Antpriv,2014-05-13T03:29:28Z,Emw,20250501-triple-pages-meta-history5-p3311286p3340107.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3499253,wdt:P1196,wd:Q9687,2015-08-27T09:49:40Z,Jmax,2016-09-25T14:47:16Z,Jura1,20250501-triple-pages-meta-history5-p3311286p3340107.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3524450,wdt:P1196,wd:Q9687,2016-11-05T09:00:29Z,Rashinseita,2017-10-07T19:26:36Z,KrBot,20250501-triple-pages-meta-history5-p3340108p3371438.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3526636,wdt:P1196,wd:Q9687,2015-10-20T04:37:12Z,Wangfo,2016-09-25T14:47:36Z,Jura1,20250501-triple-pages-meta-history5-p3340108p3371438.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3543870,wdt:P1196,wd:Q9687,2018-05-19T15:53:42Z,Manu1400,2018-05-19T16:25:36Z,KrBot,20250501-triple-pages-meta-history5-p3371439p3400236.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3754664,wdt:P1196,wd:Q9687,2017-06-19T14:48:03Z,Lainobeltz,2017-10-07T19:26:33Z,KrBot,20250501-triple-pages-meta-history5-p3552892p3579935.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3754931,wdt:P1196,wd:Q9687,2016-04-05T01:02:17Z,Laddo,2016-09-25T14:47:52Z,Jura1,20250501-triple-pages-meta-history5-p3552892p3579935.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q4116311,wdt:P1196,wd:Q9687,2017-10-18T10:05:50Z,41.47.104.234,2017-10-18T18:28:53Z,KrBot,20250501-triple-pages-meta-history5-p3901748p3929511.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q4503270,wdt:P1196,wd:Q9687,2016-02-18T12:13:50Z,Geraki,2016-02-18T13:18:35Z,CubicStar,20250501-triple-pages-meta-history5-p4282533p4316841.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5125241,wdt:P1196,wd:Q9687,2016-02-26T14:11:56Z,Coyau,2016-09-25T14:48:11Z,Jura1,20250501-triple-pages-meta-history6-p4897871p4936115.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5371602,wdt:P1196,wd:Q9687,2016-06-16T22:29:30Z,Warko,2016-09-25T14:48:31Z,Jura1,20250501-triple-pages-meta-history6-p5131147p5162822.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5675949,wdt:P1196,wd:Q9687,2017-09-01T10:28:47Z,37.132.117.251,2017-10-07T19:26:26Z,KrBot,20250501-triple-pages-meta-history6-p5401418p5443783.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5753056,wdt:P1196,wd:Q9687,2016-12-27T04:52:51Z,Carlosmg.dg,2017-10-07T19:26:24Z,KrBot,20250501-triple-pages-meta-history6-p5490739p5540319.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5772096,wdt:P1196,wd:Q9687,2017-11-14T16:12:39Z,Carlosmg.dg,2017-11-14T18:20:52Z,KrBot,20250501-triple-pages-meta-history6-p5540320p5588342.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5951964,wdt:P1196,wd:Q9687,2018-01-24T02:19:18Z,Carlosmg.dg,2018-01-25T03:13:06Z,KrBot,20250501-triple-pages-meta-history6-p5719026p5761237.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6014936,wdt:P1196,wd:Q9687,2018-02-06T10:01:22Z,Fjrc282a,2018-02-07T22:32:58Z,KrBot,20250501-triple-pages-meta-history6-p5761238p5814276.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6300739,wdt:P1196,wd:Q9687,2017-09-12T17:41:24Z,37.132.117.251,2017-10-07T19:26:14Z,KrBot,20250501-triple-pages-meta-history7-p6089677p6128340.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6849341,wdt:P1196,wd:Q9687,2015-11-24T05:41:37Z,BurritoBazooka,2015-11-24T05:41:51Z,BurritoBazooka,20250501-triple-pages-meta-history7-p6680841p6724873.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q7680219,wdt:P1196,wd:Q9687,2017-11-05T11:09:07Z,Hsarrazin,2017-11-05T13:40:52Z,KrBot,20250501-triple-pages-meta-history7-p7570819p7615699.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q10272391,wdt:P1196,wd:Q9687,2015-07-23T21:29:55Z,Coyau,2016-09-25T14:49:29Z,Jura1,20250501-triple-pages-meta-history9-p11495801p11605866.csv,found
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q11195933,wdt:P1196,wd:Q9687,2015-09-03T19:33:21Z,Hsarrazin,2016-09-25T14:49:50Z,Jura1,20250501-triple-pages-meta-history9-p12343518p12403185.csv,found
