constraint_id,s,p,o
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q21997098,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q28032212,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q28799418,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q183074,wdt:P1196,wd:Q12090
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q438507,wdt:P1196,wd:Q12125
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q27684,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q86404,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q106391,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q188783,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q241382,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q313216,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q466386,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q957348,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1036578,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1819766,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3384145,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q4475081,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5144715,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5833988,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5944817,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6298820,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q16555274,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20014059,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20653981,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q22084764,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q22084764,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q28799418,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q30077144,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q39621741,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q51846381,wdt:P1196,wd:Q12136
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q368,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q153509,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2136093,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3167786,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3237273,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q12331861,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q22087804,wdt:P1196,wd:Q12152
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q80048,wdt:P1196,wd:Q12192
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q161154,wdt:P1196,wd:Q12192
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1270412,wdt:P1196,wd:Q12192
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3179042,wdt:P1196,wd:Q12192
